Id;Titulo;Consola;America;Europa;Japon;Otro
2620;Tennis;GameBoy;2,28;0,05;1,59;0,04
2621;Squeeballs Party;Nintendo Wii;1,78;2,08;1,73;1,09
2622;X-Men: The Official Game;XBox;2,02;2,45;2,49;0,01
2623;Mortal Kombat Trilogy;Nintendo 64;3,62;3,26;2,91;2,82
2624;Dig Dug;Atari 2600;1,87;1,23;0,85;0,84
2625;Langrisser V: The End of Legend;Sega Saturn;1,31;2,48;1,49;0,49
2626;Manhunt 2;Nintendo Wii;3,07;2,01;1,81;1,97
2627;Sloane to MacHale no Nazo no Monogatari;Nintendo DS;0,26;2,08;2,37;2,01
2628;NHL 07;XBox;1,82;2,42;2,46;0,12
2629;MySims Party;Nintendo DS;0,21;2,69;1,68;1,68
2630;Star Wars Rogue Leader: Rogue Squadron II;GameBoy Color;1,54;0,26;3,26;2,35
2631;UEFA Euro 2016;PlayStation 4;2,61;1,68;1,66;1,8
2632;Mahjong Master;Nintendo 64;2,92;3,25;3,64;2,84
2633;Spider-Man 2;GameBoy Advance;2,58;1,83;1,46;0,73
2634;WCW Mayhem;PlayStation;2,22;2,07;0,55;1,41
2635;Sega Rally Championship 2;Sega Dreamcast;0,54;0,82;2,06;0,65
2636;Fast & Furious: Showdown;XBox 360;1,07;2,4;2,5;1,8
2637;Asteroids;Atari 2600;1,75;1,27;0,83;0,05
2638;A Bug's Life;Nintendo 64;3,16;2,51;2,88;4,08
2639;64 de Hakken! Tamagotchi Minna de Tamagotchi World;Nintendo 64;3,26;2,91;3,53;3,62
2640;Indy Racing 2000;Nintendo 64;2,79;3,48;3,05;2,91
2641;MTV Music Generator;PlayStation;1,99;2,79;0,48;2,27
2642;Monopoly Collection;Nintendo Wii;1,97;2,41;2,49;1,87
2643;Arcade Party Pak;PlayStation;1,97;1,41;0,27;2,56
2644;Risen 3: Titan Lords;PlayStation 4;1,73;1,56;2,17;3,02
2645;LEGO Jurassic World;PlayStation 4;1,75;1,98;1,33;1,3
2646;Sudoku Fever;GameBoy Advance;1,18;1,56;1,4;1,51
2647;Wario Land: Shake It!;Nintendo Wii;2,17;2,21;1,52;1,84
2648;Nobunaga no Yabou: Tenshoki;Super Nintendo;1,82;1,67;2,93;1,02
2649;LEGO Racers;PlayStation;2,22;2,29;0,2;1,66
2650;Eternal Darkness: Sanity's Requiem;GameBoy Color;1,97;0,15;1,91;1,56
2651;Tekken 3;PlayStation;2,22;2,89;0,29;1,73
2652;From TV Animation One Piece: Treasure Battle!;GameBoy Color;2,39;0,14;1,72;2,1
2653;Puyo Pop Fever;GameBoy Color;1,75;0,01;1,97;1,2
2654;Open Season;Nintendo Wii;2,88;3,07;2,22;2,47
2655;Namco Museum;GameBoy Advance;1,36;1,82;2,39;2,63
2656;Pinball Tycoon;GameBoy Advance;0,71;2,65;2,02;2,16
2657;Yakuza: Ishin;PlayStation 4;1,51;1,29;2,19;2,04
2658;Naruto Shippuden: Ninja Destiny 2;Nintendo DS;0,22;2,54;2,3;2,11
2659;The Legend of Zelda: Link's Awakening;GameBoy;2,69;0,1;2,51;0,15
2660;Backyard Soccer;PlayStation;1,94;1,86;0,09;2,37
2661;Star Wars Knights of the Old Republic II: The Sith Lords;XBox;1,64;2,58;1,7;0,38
2662;Capcom vs. SNK: Millennium Fight 2000 Pro;Sega Dreamcast;0,99;0,87;1,87;0,92
2663;Rayman Legends;PlayStation 4;2,01;1,85;1,43;2,46
2664;Jet Moto;PlayStation;1,97;3,27;0,59;1,8
2665;WWF Wrestlemania: The Arcade Game;PlayStation;1,32;2,16;0,04;1,77
2666;Teenage Mutant Ninja Turtles: Tournament Fighters;Super Nintendo;2,16;1,8;3,69;1,71
2667;Spyro 2: Ripto's Rage!;PlayStation;2,21;2,97;0,27;2,61
2668;Super Robot Wars OG: The Moon Dwellers;PlayStation 4;2,31;2,24;1,77;1,62
2669;Guilty Gear Xrd -Revelator-;PlayStation 4;2,3;2,55;0,88;2,28
2670;Fight Club;XBox;2,69;0,86;2,43;0,04
2671;Shadow Man;Nintendo 64;3,04;3,25;3,37;3,41
2672;Dr. Mario;Nintendo;3,39;2,76;0,21;0,02
2673;Tetris Attack;Super Nintendo;1,71;1,11;3,96;0,76
2674;MySims Agents;Nintendo Wii;2,24;2,5;2,93;1,79
2675;Tamagotchi no Narikiri Challenge;Nintendo DS;0,31;1,79;2,06;2,13
2676;OverBlood 2;PlayStation;1,42;2,93;0,36;2,74
2677;Natural Doctrine;PlayStation 4;2,53;2,22;1,69;1,84
2678;Oyaku de Asoberu DS Ehon: Ukkari Penelope;Nintendo DS;0,12;2,19;1,65;2,17
2679;Cold Fear;XBox;1,89;2,26;1,83;0,05
2680;BlazBlue: Chrono Phantasma Extend;XBox One;0,96;2,36;2,06;2,28
2681;MX SuperFly featuring Ricky Carmichael;GameBoy Color;2,94;0,11;2,3;1,88
2682;Naruto: Gekito Ninja Taisen! 3;GameBoy Color;1,89;0,09;2,15;1,47
2683;Densha De Go! 64;Nintendo 64;3,58;3,31;3,62;3,44
2684;Over the Hedge;XBox;2,38;2,01;1,56;0,13
2685;Pandemonium!;PlayStation;2,17;1,96;0,38;2,28
2686;Mickey's Speedway USA;Nintendo 64;3,67;3,4;2,94;3,19
2687;Pirates: Hunt For Blackbeard's Booty;Nintendo Wii;1,88;2,58;1,37;1,66
2688;Zendoku;Nintendo DS;0,58;2,13;2,43;1,59
2689;F1 2013;XBox 360;2,71;1,71;2,21;1,92
2690;Operation Flashpoint: Red River;XBox 360;1,53;2,34;2,05;2,15
2691;NHL Blades of Steel '99;Nintendo 64;3,16;2,72;3,94;3,41
2692;Bomberman Hero;Nintendo 64;3,2;2,61;2,74;3,37
2693;Tsumiki: Block Drop Mania;Nintendo DS;0,48;1,41;1,88;1,96
2694;NASCAR 2005: Chase for the Cup;GameBoy Color;2,05;0,19;2,5;1,72
2695;Doom 64;Nintendo 64;4,25;2,98;2,76;2,89
2696;Hyper Formation Soccer;PlayStation;2,91;2,57;0,04;1,82
2697;Major League Baseball 2K6;GameBoy Color;2,36;0,08;2,84;1,67
2698;Sarah: Keeper of the Unicorn;Nintendo DS;0,33;2,22;2,31;3,04
2699;Batman Begins;GameBoy Color;3,04;0,17;1,75;2,66
2700;Jaws Unleashed;XBox;1,79;1,53;1,54;0,55
2701;NBA Live 2005;XBox;2,23;2,22;2,62;0,54
2702;Dragon Ball Z: Budokai 2;GameBoy Color;2,29;0,01;1,74;2,18
2703;Emergency! Disaster Rescue Squad;Nintendo DS;0,46;1,54;2,25;1,95
2704;WipEout XL;PlayStation;3,03;0,82;0,23;1,97
2705;Konjiki no Gashbell!! Makai no Bookmark;GameBoy Advance;2,22;1,44;2,64;2,24
2706;Pokemon Gold/Pokemon Silver;GameBoy;2,39;0,02;2;0,05
2707;Ranma 1/2: Akanekodan Teki Hihou;Super Nintendo;2,16;1,92;2,49;0,84
2708;Resident Evil Zero;PlayStation 4;2,56;2,79;1,29;1,37
2709;Need for Speed (2015);XBox One;0,04;1,8;1,92;2,44
2710;Monster Rancher Advance 2;GameBoy Advance;2,03;1,92;1,98;1,95
2711;Ghostbusters: The Video Game;XBox 360;2,02;2,54;2,26;1,8
2712;Soccer Tsuku DS: World Challenge 2010;Nintendo DS;0,39;1,95;2,07;2,45
2713;Shellshock;PlayStation;2,12;2,13;0,28;2,57
2714;Street Fighter Collection;Sega Saturn;1,91;1,62;2,57;0,38
2715;Young Justice: Legacy;Nintendo Wii;2,18;2,83;2,67;2,11
2716;Rayman Raving Rabbids;Nintendo DS;0,42;2,66;1,84;2,64
2717;Rio;XBox 360;2,29;1,66;2,37;1,84
2718;The Last of Us;PlayStation 4;2,4;2,34;2,39;1,88
2719;Blade Arcus from Shining EX;PlayStation 4;1,67;2,22;1,2;0,48
2720;Boom Blox;Nintendo Wii;2,78;2,38;1,78;1,34
2721;Jikkyou Powerful Pro Yakyuu 6;Nintendo 64;3,29;3,83;3,59;3,4
2722;Iron Man;XBox 360;2,28;2,22;2,22;2,34
2723;FIFA Soccer 08;XBox 360;2,4;1,47;1,37;2,7
2724;Super R.C. Pro-Am;GameBoy;2,18;0,22;2,18;0,08
2725;Ben 10 Alien Force: Vilgax Attacks;XBox 360;1,88;1,59;2,03;2,3
2726;Harvest Moon: A Wonderful Life;GameBoy Color;2,37;0,11;2,49;2,11
2727;MVP Baseball 2004;GameBoy Color;1,48;0,42;2,5;2,31
2728;Earth Defense Force 2025.1: The Shadow of New Despair;PlayStation 4;2,07;2,05;1,28;1,48
2729;Batman: A Telltale Game Series;PlayStation 4;1,33;1,28;0,01;1,66
2730;All Star Karate;Nintendo Wii;1,74;2,98;2,37;2,16
2731;Army Men: Sarge's Heroes;PlayStation;2,23;1,83;0,03;1,75
2732;Tony Hawk's Underground;XBox;2,43;2,6;2,66;0,25
2733;Just Dance 2015;XBox One;0,39;2,56;1,66;2,12
2734;LEGO Star Wars II: The Original Trilogy;GameBoy Advance;1,35;2,48;3,34;2,98
2735;One Piece: Pirate Warriors 3;PlayStation 4;1,86;1,96;1,6;2,7
2736;Barnyard;GameBoy Color;1,72;0,25;2,77;2,64
2737;The Smurfs 2;Nintendo DS;0,25;2,27;3,06;1,58
2738;Bassmasters 2000;Nintendo 64;3,72;3,61;3,88;3,24
2739;Bolt;XBox 360;2,14;2,14;2,43;2,7
2740;2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe;XBox;2,32;1,94;1,11;0,06
2741;Big Brain Academy;Nintendo DS;0,42;2,37;2,49;1,47
2742;Blinx: The Time Sweeper;XBox;1,84;2,63;2,53;0,14
2743;Super Baseball;Atari 2600;1,83;1,25;0,37;0,73
2744;Agatha Christie: And Then There Were None;Nintendo Wii;1,29;3,77;2,33;2,44
2745;DJ Hero;Nintendo Wii;1,49;2,34;2,15;2,11
2746;Teenage Mutant Ninja Turtles Double Pack;GameBoy Advance;1,17;2,21;1,64;1,88
2747;SnoCross Championship Racing;PlayStation;1,59;2,49;0,44;2,38
2748;The Legend of Spyro: A New Beginning;Nintendo DS;0,09;1,95;1,45;1,56
2749;Taiho Shichauzo!;PlayStation;1,81;2,32;0,06;2,05
2750;ESPN NBA Basketball;XBox;2,8;2,71;2,61;0,02
2751;Final Fantasy Crystal Chronicles: Echoes of Time;Nintendo Wii;1,5;2,56;2,74;2,18
2752;Pro Yakyuu Family Stadium;Nintendo;3,28;2,25;0,02;0,03
2753;Spyro: Year of the Dragon;PlayStation;2,61;2,72;0,03;1,45
2754;Crayon Shin-Chan Shokkugan! Densetsu o Yobu Omake Daiketsusen!!;Nintendo DS;0,05;2,12;2,08;2,42
2755;Dynasty Warriors 8: Empires;PlayStation 4;2,36;1,64;1,91;1,47
2756;Krull;Atari 2600;1,77;1,37;0,9;0,95
2757;Rayman 3: Hoodlum Havoc;GameBoy Color;1,65;0,23;2,68;1,67
2758;Jeremy McGrath Supercross 2000;PlayStation;2,12;2,6;0,01;1,52
2759;Elebits: The Adventures of Kai and Zero;Nintendo DS;0,1;1,77;1,59;2,68
2760;Front Mission;Super Nintendo;2,31;1,23;3,88;0,82
2761;Ballistic;PlayStation;2,63;1,83;0,13;1,69
2762;Mario Party 3;Nintendo 64;3,04;3,33;3,61;3,43
2763;NHL 2003;GameBoy Color;2,97;0,15;2,46;1,43
2764;Rebelstar: Tactical Command;GameBoy Advance;1,55;2,51;1,91;2,22
2765;Lord of the Rings: The Third Age;XBox;0,93;2,38;1,72;0,09
2766;F-Zero: GP Legend;GameBoy Advance;1,36;1,5;2,58;2,38
2767;Bust-A-Move 2 Arcade Edition;Nintendo 64;2,87;2,72;3,13;3,46
2768;Teenage Mutant Ninja Turtles 3: Mutant Nightmare;GameBoy Color;1,63;0,04;2,62;0,38
2769;Jurassic Park III: Island Attack;GameBoy Advance;1,94;2,47;2,06;1,92
2770;NFL GameDay '97;PlayStation;1,61;2,44;0,29;2,04
2771;LEGO Marvel Super Heroes;Nintendo DS;0,01;2,25;2,06;1,78
2772;Mario Party 6;GameBoy Color;1,88;0,25;1,99;2,21
2773;Scene It? Bright Lights! Big Screen!;Nintendo Wii;2,16;2,69;0,78;2,38
2774;Dream Chronicles;Nintendo DS;0,24;2,05;1,61;1,65
2775;Metal Gear Solid;GameBoy;2,48;0,08;2,83;0,01
2776;A llI S.V.: A Ressha de Gyoukou 3 Super Version;Super Nintendo;2,27;1,96;3,3;1,15
2777;Phantasy Star Online Episode III: C.A.R.D. Revolution;GameBoy Color;2,17;0,23;3,68;2,5
2778;RealSports Boxing;Atari 2600;2,02;0,84;0,81;0,64
2779;Pitfall: The Big Adventure;Nintendo Wii;1,15;2,13;2,14;2,18
2780;SSX Tricky;GameBoy Advance;1,1;2,63;2,29;2,39
2781;Sengoku Cyber: Fujimaru Jigokuhen;PlayStation;2,13;1,86;0,08;2,31
2782;Crash Bash;PlayStation;2,12;1,77;0,47;2,33
2783;Star Wars: Demolition;PlayStation;1,46;2,49;0,51;2,15
2784;X-Men: The Official Game;XBox 360;2,23;1,02;2,58;2,29
2785;Your Shape: Fitness Evolved;XBox 360;2,25;1,56;2,18;2,37
2786;UFC Undisputed 2010;XBox 360;1,3;2,17;2,43;1,98
2787;Rugby League Live 3;XBox One;0,06;1,92;1,78;1,89
2788;FIFA Soccer 2003;GameBoy Color;2,12;0,05;1,49;1,75
2789;NFL Head Coach;XBox;1,36;1,8;1,74;0,11
2790;WCW vs the World;PlayStation;1,18;2,06;0,28;2,49
2791;Deathtrap Dungeon;PlayStation;2,53;2,49;0,03;2,06
2792;Crash Tag Team Racing;GameBoy Color;2,55;0,28;1,13;3,32
2793;Just Dance 2015;PlayStation 4;1,97;2,66;1,86;2,82
2794;Famista '92;Nintendo;3,42;2,96;0,07;0,08
2795;Heisei Kyouiku linkai DS;Nintendo DS;0,26;2,82;2,96;2,08
2796;FIFA Soccer 2005;GameBoy Color;2,41;0,13;1,24;1,88
2797;Card Games;PlayStation;1,7;1,71;0,02;2,29
2798;Bomberman II;Nintendo;2,76;2,88;0,22;0,36
2799;DragonHeart: Fire & Steel;PlayStation;2,1;2,39;0,28;2,06
2800;Donkey Kong Country;GameBoy Advance;2,98;2,67;2,24;2,3
2801;Rugrats in Paris: The Movie;PlayStation;1,99;2,75;0,14;1,45
2802;Tony Hawk's Pro Skater 5;PlayStation 4;1,05;1,99;1,35;2,39
2803;Dynasty Warriors 8: Empires;XBox One;0,19;1,31;1,83;2,04
2804;Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi;PlayStation;2,04;2,52;0,3;2,18
2805;Buffy the Vampire Slayer: Chaos Bleeds;XBox;1,2;2,37;1,65;0,3
2806;Mario Golf: Toadstool Tour;GameBoy Color;1,95;0,61;1,54;1,81
2807;From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!;GameBoy;2,53;0,06;1,89;0,17
2808;NASCAR 06: Total Team Control;XBox;2,3;2,5;1,62;0,17
2809;Total Immersion Racing;XBox;2,17;2,25;2,62;0,66
2810;Casper;PlayStation;2,52;1,74;0,29;2,15
2811;Ty the Tasmanian Tiger 3: Night of the Quinkan;XBox;2,88;2,46;1,33;0,12
2812;Derby Stallion III;Super Nintendo;2,12;2,27;3,85;1,38
2813;Marvel Super Hero Squad;Nintendo Wii;2,07;2,87;2,26;1,83
2814;Whac-A-Mole;Nintendo DS;0,01;1,57;2,71;2,25
2815;Need for Speed: Most Wanted;Nintendo DS;0,01;2,3;2,11;1,84
2816;Crimson Sea;XBox;2,03;1,65;2,13;0,25
2817;Ice Hockey;Atari 2600;1,73;0,77;0,62;0,42
2818;Viewtiful Joe;GameBoy Color;1,9;0,2;1,86;2,65
2819;Rampage World Tour;Nintendo 64;3,39;2,93;3,82;3,26
2820;Legend of the Guardians: The Owls of Ga'Hoole;Nintendo DS;0,21;1,7;3,18;2,39
2821;Constantine;XBox;2,64;1,77;1,84;0,07
2822;Mini Ninjas;Nintendo DS;0,05;2,8;1,42;2,11
2823;Star Fox 64;Nintendo 64;3,5;3,79;4,21;3,16
2824;The Wild Thornberrys: Chimp Chase;GameBoy Advance;0,46;1,99;2,79;1,79
2825;Utawarerumono: Itsuwari no Kamen;PlayStation 4;2,75;1,55;0,63;1,97
2826;Crayon Shin-Chan: Arashi o Yobu Enji;Super Nintendo;2,28;1,32;3,37;1,56
2827;Space Chimps;Nintendo DS;0,11;1,55;1,86;1,5
2828;Jikkyou Powerful Pro Yakyuu '96 Kaimakuban;Super Nintendo;1,61;1,75;3,48;1,39
2829;Super Monkey Ball 2;GameBoy Color;1,29;0,78;1,29;1,4
2830;Digimon Racing;GameBoy Advance;2,47;2,05;2,74;2,69
2831;WWE Crush Hour;GameBoy Color;1,74;0,41;2,07;2,03
2832;Off Road Challenge;Nintendo 64;2,84;3,52;2,66;3,36
2833;Thief: Deadly Shadows;XBox;2,23;2,51;1,84;0,05
2834;Fire Emblem: The Sacred Stones;GameBoy Advance;2,37;2,53;1,46;1,91
2835;Dragon Ball Z: Ultimate Tenkaichi;XBox 360;2,26;1,99;1,6;1,96
2836;Yu-Gi-Oh! Forbidden Memories (JP sales);PlayStation;2,61;2,25;0,63;2,28
2837;Fighting Vipers 2;Sega Dreamcast;0,9;0,4;1,85;0,94
2838;Operation Armored Liberty;GameBoy Advance;1,91;1,52;1,69;2,18
2839;Republique;PlayStation 4;1,68;1,77;1,56;2,3
2840;Turbo: Super Stunt Squad;XBox 360;2,71;3,01;1,81;1,94
2841;Sega Soccer Slam;XBox;2,4;1,24;1,85;0,04
2842;Fast Food;Atari 2600;1,84;1,21;0,35;0,41
2843;Halloween;Atari 2600;1,69;0,38;1,01;0,48
2844;Resident Evil Zero;XBox One;0,02;2,21;2,02;1,84
2845;Cel Damage;XBox;2,63;1,4;1,7;0,29
2846;Final Fantasy;Nintendo;3,44;3,46;0,02;0,09
2847;Imagine: Fashion Stylist;Nintendo DS;0,12;1,74;2,72;1,57
2848;NightCaster II: Equinox;XBox;2,31;2,56;1,86;0,42
2849;FIFA 15;XBox One;0,18;2,11;1,36;1,15
2850;Dragon Blade: Wrath of Fire;Nintendo Wii;2,15;2,34;2,22;2,53
2851;Real World Golf;XBox;3,13;2,08;1,71;0,08
2852;Conflict: Global Terror;XBox;2,15;1,76;2,9;0,01
2853;MLB Pennant Race;PlayStation;2,73;2,37;0,1;2,28
2854;Kung Zhu;Nintendo DS;0,28;1,06;1,97;1,82
2855;Dance Dance Revolution: Mario Mix (JP sales);GameBoy Color;3,24;0,45;2,31;1,49
2856;Jikkyou Powerful Pro Yakyuu 3;Super Nintendo;1,52;1,93;3,8;0,93
2857;The Suffering;XBox;1,29;3;2,58;0,26
2858;Buster Bros. Collection;PlayStation;1,83;1,56;0,17;2,33
2859;Strawberry Shortcake: Strawberryland Games;Nintendo DS;0,61;2,77;1,65;2,04
2860;The Adventures of Jimmy Neutron Boy Genius: Jet Fusion;GameBoy Color;1,72;0,56;2,22;2,13
2861;Hands On! Tangrams;Nintendo DS;0,06;2,1;2,72;2,2
2862;Over the Hedge: Hammy Goes Nuts!;Nintendo DS;0,24;1,19;2,63;2,02
2863;Rugrats: Castle Capers;GameBoy Advance;1,84;1,88;1,38;2,38
2864;Snowboarding;PlayStation;2,34;2,24;0,05;2,34
2865;Cruis'n World;Nintendo 64;2,95;2,92;3,32;2,92
2866;Shark Tale;XBox;1,04;2,06;2,62;0,53
2867;FIFA Soccer 97;PlayStation;1,66;1,81;0,18;1,58
2868;NFL Fever 2004;XBox;2,19;2,76;2,52;0,13
2869;Madden NFL 2003;GameBoy Color;2,06;0,17;1,73;2,07
2870;MC Groovz Dance Craze;GameBoy Color;2,06;0,32;2,16;1,59
2871;God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7;PlayStation 4;2,04;2,18;0,54;1,64
2872;The Hobbit;GameBoy Color;1,49;0,15;1,54;2,3
2873;Yumeiro Patissiere: My Sweets Cooking;Nintendo DS;0,05;1,55;2,51;2,73
2874;Whirl Tour;GameBoy Color;1,77;0,15;2,64;2,95
2875;Dead or Alive;Sega Saturn;2,13;2,32;2,25;0,16
2876;Rugby World Cup 2015;XBox One;0,35;2,4;2,36;1,27
2877;Mega Man 7;Super Nintendo;1,08;1,69;3,45;1,31
2878;Disney Channel Collection Vol. 1;GameBoy Advance;2,14;1,97;1,07;1,48
2879;Mega Man Star Force 3: Black Ace / Red Joker;Nintendo DS;0,22;2,51;1,25;1,46
2880;Guilty Gear Dust Strikers;Nintendo DS;0,02;2,23;2;2,45
2881;Wave Race: Blue Storm;GameBoy Color;1,72;0,07;3,09;2,84
2882;Casper's Scare School: Spooky Sports Day;Nintendo Wii;1,66;3,42;1,85;2,96
2883;Quantum Break;XBox One;0,09;2,59;2,83;2,03
2884;Alan Wake;XBox 360;1,86;1,85;2,27;2,17
2885;Mercenaries: Playground of Destruction;XBox;2,41;2,28;1,59;0,26
2886;Sengoku Basara 4: Sumeragi;PlayStation 4;2,03;1,85;1,64;2,38
2887;Minority Report: Everybody Runs;XBox;3,51;1,11;2,01;0,02
2888;NFL Blitz 2000;PlayStation;1,77;2,31;0,53;2,01
2889;The Magical Quest starring Mickey Mouse;Super Nintendo;2,04;1,96;3,38;1,2
2890;International Track & Field 2000;PlayStation;3,25;2,05;0,84;2,27
2891;Kirby Air Ride;GameBoy Color;2,17;0,18;1,56;2,16
2892;Cars: Race-O-Rama;Nintendo DS;0,01;2,73;2,36;1,96
2893;Grudge Warriors;PlayStation;2,52;1,87;0,28;1,65
2894;Pac-Man World 2;GameBoy Color;2;0,1;2;2,23
2895;Mega Man Xtreme;GameBoy;2,78;0,03;1,94;0,13
2896;Need for Speed (2015);PlayStation 4;2,04;1,96;1;2,5
2897;BeatMania Append 3rdMix;PlayStation;2,1;2,29;0,52;1,76
2898;Super Puyo Puyo;Super Nintendo;1,4;2,03;3,14;0,95
2899;Assassin's Creed Syndicate;PlayStation 4;1,16;2,19;2,48;2,82
2900;The Order: 1886;PlayStation 4;2,44;1,9;1,7;1,93
2901;MTV Sports: Pure Ride;PlayStation;2,52;1,99;1,06;2,04
2902;Angelique Duet;PlayStation;2,01;2,3;0,22;1,84
2903;NES Open Tournament Golf;Nintendo;3,07;3,8;0,26;0,04
2904;Mega Man Anniversary Collection;GameBoy Color;1,14;0,13;2,84;1,42
2905;Dino Crisis;PlayStation;1,52;3,05;0,46;3,05
2906;Brunswick Pro Bowling;XBox 360;2,05;1,6;2,05;3,25
2907;PaRappa The Rapper;PlayStation;1,6;1,42;1,4;1,76
2908;Countdown: The Game;Nintendo Wii;2,03;1,99;2,65;2,74
2909;Batman: Dark Tomorrow;GameBoy Color;2,71;0,09;1,93;1,86
2910;Novastorm;PlayStation;2,23;3,02;1,04;2,47
2911;James Bond 007: Agent Under Fire;XBox;2,64;2,89;1,98;0,2
2912;Custom Robo V2;Nintendo 64;3,27;3,52;3,18;3,77
2913;Chuck E. Cheese's Game Room;Nintendo DS;0,24;2,38;1,92;2,42
2914;Beyond Good & Evil;XBox;2,62;1,83;2,72;0,65
2915;Road Rash: Jailbreak;PlayStation;2,36;1,86;0,14;2,28
2916;Tetris Evolution;XBox 360;2,83;2,09;2,76;2,31
2917;Wario Land 3;GameBoy;2,1;0,05;2,09;0,12
2918;X-Men Legends II: Rise of Apocalypse;XBox;1,87;2,23;1,65;0,03
2919;Disney's Winnie the Pooh's Rumbly Tumbly Adventure;GameBoy Color;2,26;0,01;3,51;2,03
2920;Qix;GameBoy;2,22;0,07;2,68;0,1
2921;Pro Evolution Soccer 2017;XBox One;0,28;2,11;2,18;1,87
2922;Tales of Phantasia;Super Nintendo;2,16;1,39;3,67;0,98
2923;Dolphin;Atari 2600;1,57;0,46;0,86;0,11
2924;Sega Smash Pack;GameBoy Advance;1,33;1,73;1,62;2,81
2925;Yuu Yuu Hakusho 2: Kakutou no Sho;Super Nintendo;1,88;2,61;3,89;1,22
2926;Tom Clancy's Rainbow Six: Siege;PlayStation 4;1,81;1,93;1,96;2,21
2927;Dr. Mario / Puzzle League;GameBoy Advance;1,65;1,93;1,65;2,25
2928;WRC 2: FIA World Rally Championship;XBox 360;0,99;2,37;2,14;2,94
2929;Donkey Kong Land II;GameBoy;2,48;0,59;2,61;0,1
2930;Army Men: Air Attack;PlayStation;1,15;1,26;0,06;2,04
2931;Pro Yakyuu Greatest Nine 98;Sega Saturn;2,58;1,58;2,29;0,31
2932;Summoner: A Goddess Reborn;GameBoy Color;1,7;0,18;2,55;2,83
2933;MindJack;XBox 360;2,42;2,24;2,37;3,46
2934;Zathura;XBox;2,6;1,47;1,71;0,12
2935;Commando;Nintendo;3,54;2,23;0,15;0,05
2936;Nitrobike;Nintendo Wii;2,1;2,66;1,56;2,26
2937;Wii Fit;Nintendo Wii;0,99;2,29;1,78;1,96
2938;Robotron 64;Nintendo 64;3,43;2,39;3,86;2,67
2939;Dr. Mario 64;Nintendo 64;3,63;3,36;3,18;3,26
2940;Namco Museum: 50th Anniversary;XBox;2,19;1,25;2,64;0,21
2941;Virtua Tennis 4;XBox 360;2,63;1,34;2,15;1,24
2942;Resident Evil: Revelations 2;PlayStation 4;2,8;3,14;1,29;2,63
2943;Mega Man X4;Sega Saturn;2,27;1,77;2,29;0,12
2944;Dragon Quest Monsters: Joker;Nintendo DS;0,86;1,79;1,79;2,43
2945;AeroFighters Assault;Nintendo 64;3,48;3,57;3,27;3,17
2946;Forza Motorsport 6;XBox One;0,08;1,52;2,2;2,44
2947;Asura's Wrath;XBox 360;2,89;1,61;2,26;3,03
2948;July;Sega Dreamcast;0,41;0,52;1,46;0,66
2949;Wonder Project J2: Koruro no Mori no Josette;Nintendo 64;3,12;3,68;3,41;3,11
2950;Fatal Frame;XBox;2,28;2,47;2,32;0,59
2951;Rugrats Studio Tour;PlayStation;2,48;2,24;0,41;1,97
2952;Celebrity Sports Showdown;Nintendo Wii;1,72;2,47;2,58;1,52
2953;Tom Clancy's Ghost Recon 2;GameBoy Color;2,47;0,17;2,15;2,01
2954;Summer Athletics: The Ultimate Challenge (US sales);Nintendo Wii;2,09;1,8;1,77;1,28
2955;Doukoku Shoshite...;Sega Saturn;1,52;2,23;1,16;0,08
2956;DoDonPachi Daifukkatsu: Black Label;XBox 360;2,36;2,35;3,06;2,36
2957;MVP Baseball 2003;XBox;1,41;1,32;2;0,19
2958;Bound By Flame;PlayStation 4;2,64;2,14;1,34;2,76
2959;Tom Clancy's Splinter Cell: Double Agent;Nintendo Wii;2,41;2,29;1,62;2,01
2960;WWE WrestleMania 21;XBox;2,67;1,92;2,52;0,17
2961;The Powerpuff Girls: Relish Rampage;GameBoy Color;3,03;0,26;2,18;1,48
2962;Barnyard Blast: Swine of the Night;Nintendo DS;0,16;2,69;1,61;1,89
2963;Dark Souls II;PlayStation 4;0,71;2,62;1,09;1,65
2964;The Book of Unwritten Tales 2;PlayStation 4;1,53;1,94;1,64;2,16
2965;Virtua Fighter;Sega Saturn;1,37;1,34;2,1;0,62
2966;NHL FaceOff '97;PlayStation;3;1,57;0,12;2
2967;Super Mario Bros.;GameBoy;2,56;0,21;2,01;0,02
2968;Farming Simulator 2015;PlayStation 4;1,9;2,26;1,5;1,84
2969;The Last Story;Nintendo Wii;2,09;2,25;1,97;3,02
2970;Slayers Royal 2;Sega Saturn;2,61;1,78;2,22;0,13
2971;FIFA Soccer 2005;GameBoy Advance;1,99;1,73;2,39;3,22
2972;Jikkyou Powerful Pro Yakyuu '99 Kaimakuban;PlayStation;2,42;1,04;1,03;1,71
2973;Hydro Thunder;Nintendo 64;2,06;3,58;3,32;3,16
2974;Speed Kings;GameBoy Color;1,89;1,29;1,92;1,79
2975;NCAA GameBreaker 2000;PlayStation;2,42;2,9;0,02;2,82
2976;Love Plus +;Nintendo DS;0,04;2,2;2,14;2,7
